,nonOscarValue
0,4
1,11
2,0
3,12
4,67
5,2
6,0
7,3
8,7
9,5
10,6
11,7
12,22
13,5
14,1
15,0
16,7
17,0
18,3
19,6
20,0
21,7
22,0
23,35
24,1
25,1
26,15
27,21
28,1
29,0
30,0
31,0
32,0
33,0
34,4
35,29
36,1
37,72
38,60
39,17
40,0
41,9
42,0
43,51
44,0
45,7
46,23
47,28
48,26
49,0
50,47
51,55
52,2
53,0
54,2
55,1
56,30
57,0
58,0
59,2
60,0
61,0
62,2
63,0
64,8
65,66
66,11
67,0
68,1
69,0
70,38
71,0
72,0
73,0
74,8
75,0
76,0
77,62
78,0
79,9
80,16
81,0
82,0
83,31
84,1
85,0
86,6
87,0
88,0
89,26
90,0
91,0
92,5
93,0
94,0
95,0
96,20
97,2
98,2
99,22
100,0
101,7
102,4
103,0
104,0
105,0
106,51
107,2
108,0
109,0
110,0
111,1
112,4
113,0
114,13
115,1
116,2
117,0
118,0
119,1
120,6
121,0
122,20
123,25
124,0
125,0
126,1
127,22
128,10
129,0
130,0
131,11
132,11
133,0
134,9
135,0
136,2
137,2
138,5
139,34
140,1
141,0
142,6
143,42
144,3
145,7
146,0
147,0
148,0
149,1
150,19
151,0
152,0
153,0
154,0
155,24
156,0
157,33
158,3
159,4
160,1
161,15
162,7
163,0
164,0
165,16
166,10
167,0
168,1
169,16
170,21
171,30
172,0
173,0
174,0
175,45
176,4
177,0
178,0
179,31
180,51
181,5
182,6
183,12
184,5
185,0
186,0
187,0
188,2
189,0
190,0
191,42
192,16
193,0
194,3
195,0
196,7
197,0
198,6
199,3
200,12
201,5
202,0
203,13
204,0
205,0
206,1
207,0
208,3
209,0
210,0
211,13
212,0
213,6
214,13
215,0
216,0
217,0
218,49
219,1
220,17
221,5
222,9
223,0
224,21
225,63
226,13
227,0
228,9
229,0
230,0
231,0
232,17
233,14
234,0
235,1
236,39
237,0
238,0
239,9
240,36
241,1
242,0
243,2
244,6
245,14
246,0
247,1
248,14
249,0
250,1
251,23
252,14
253,1
254,14
255,3
256,19
257,10
258,0
259,30
260,0
261,0
262,9
263,19
264,0
265,21
266,2
267,0
268,1
269,0
270,0
271,2
272,0
273,0
274,16
275,23
276,50
277,0
278,12
279,1
280,11
281,2
282,2
283,0
284,12
285,0
286,12
287,0
288,1
289,6
290,1
291,20
292,50
293,5
294,5
295,0
296,49
297,6
298,0
299,0
300,7
301,0
302,66
303,10
304,7
305,10
306,1
307,3
308,0
309,8
310,0
311,7
312,3
313,0
314,0
315,1
316,3
317,26
318,4
319,0
320,0
321,15
322,0
323,0
324,0
325,4
326,2
327,1
328,2
329,27
330,1
331,0
332,27
333,64
334,2
335,21
336,4
337,6
338,3
339,16
340,0
341,0
342,13
343,13
344,0
345,22
346,17
347,9
348,0
349,2
350,13
351,0
352,23
353,12
354,5
355,0
356,2
357,1
358,13
359,3
360,0
361,14
362,5
363,3
364,10
365,3
366,60
367,46
368,23
369,5
370,5
371,0
372,16
373,39
374,2
375,15
376,15
377,11
378,0
379,6
380,0
381,4
382,22
383,21
384,25
385,0
386,0
387,0
388,30
389,6
390,7
391,3
392,35
393,0
394,0
395,1
396,77
397,3
398,1
399,14
400,18
401,0
402,0
403,9
404,1
405,5
406,0
407,22
408,6
409,3
410,8
411,2
412,33
413,1
414,34
415,1
416,0
417,12
418,0
419,9
420,0
421,21
422,13
423,32
424,0
425,9
426,1
427,10
428,6
429,62
430,22
431,28
432,0
433,2
434,10
435,1
436,4
437,18
438,3
439,10
440,23
441,8
442,1
443,7
444,6
445,9
446,7
447,6
448,5
449,8
450,0
451,8
452,64
453,8
454,2
455,2
456,2
457,0
458,0
459,0
460,1
461,2
462,1
463,21
464,0
465,1
466,0
467,0
468,18
469,0
470,51
471,2
472,2
473,35
474,57
475,0
476,18
477,10
478,21
479,2
480,74
481,0
482,12
483,50
484,3
485,17
486,14
487,1
488,3
489,2
490,11
491,2
492,1
493,5
494,43
495,9
496,50
497,22
498,6
499,0
500,0
501,14
502,2
503,0
504,0
505,0
506,0
507,44
508,6
509,0
510,19
511,3
512,1
513,0
514,0
515,36
516,0
517,0
518,2
519,22
520,1
521,4
522,8
523,0
524,0
525,0
526,0
527,36
528,22
529,0
530,35
531,15
532,3
533,65
534,63
535,33
536,5
537,10
538,0
539,0
540,1
541,4
542,26
543,6
544,0
545,0
546,1
547,7
548,0
549,60
550,2
551,36
552,4
553,4
554,0
555,0
556,2
557,5
558,10
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,0
567,0
568,9
569,8
570,14
571,2
572,2
573,18
574,12
575,46
576,0
577,0
578,0
579,2
580,25
581,0
582,1
583,14
584,2
585,15
586,0
587,4
588,8
589,6
590,44
591,10
592,17
593,0
594,55
595,10
596,26
597,10
598,0
599,0
600,12
601,22
602,4
603,0
604,0
605,2
606,5
607,1
608,0
609,10
610,6
611,25
612,1
613,0
614,0
615,3
616,0
617,24
618,3
619,1
620,0
621,20
622,5
623,5
624,8
625,0
626,0
627,0
628,0
629,14
630,35
631,0
632,16
633,0
634,7
635,8
636,37
637,23
638,6
639,1
640,0
641,8
642,65
643,0
644,12
645,7
646,1
647,15
648,9
649,1
650,38
651,1
652,0
653,35
654,9
655,37
656,4
657,0
658,14
659,1
660,0
661,74
662,7
663,0
664,0
665,5
666,20
667,0
668,8
669,1
670,43
671,59
672,0
673,1
674,5
675,22
676,7
677,0
678,11
679,0
680,4
681,6
682,39
683,3
684,1
685,0
686,16
687,64
688,0
689,55
690,21
691,0
692,0
693,23
694,20
695,17
696,0
697,1
698,0
699,60
700,0
701,0
702,0
703,0
704,48
705,1
706,7
707,0
708,5
709,44
710,22
711,0
712,32
713,5
714,0
715,2
716,11
717,0
718,68
719,4
720,0
721,39
722,0
723,1
724,0
725,20
726,4
727,0
728,4
729,19
730,8
731,8
732,11
733,10
734,30
735,5
736,0
737,6
738,0
739,0
740,17
741,40
742,11
743,0
744,14
745,3
746,1
747,2
748,1
749,6
750,17
751,0
752,2
753,36
754,0
755,5
756,0
757,2
758,14
759,67
760,1
761,0
762,26
763,11
764,0
765,5
766,0
767,26
768,0
769,16
770,0
771,1
772,3
773,0
774,11
775,2
776,1
777,7
778,17
779,4
780,3
781,0
782,5
783,6
784,3
785,13
786,0
787,20
788,2
789,2
790,4
791,0
792,0
793,4
794,6
795,2
796,1
797,20
798,0
799,5
800,1
801,12
802,3
803,10
804,71
805,0
806,5
807,5
808,10
809,7
810,3
811,6
812,10
813,20
814,6
815,0
816,15
817,8
818,2
819,5
820,0
821,1
822,0
823,1
824,0
825,29
826,14
827,0
828,23
829,0
830,1
831,1
832,6
833,13
834,60
835,1
836,3
837,1
838,4
839,1
840,0
841,0
842,13
843,73
844,4
845,0
846,8
847,7
848,18
849,53
850,0
851,11
852,0
853,1
854,3
855,0
856,1
857,0
858,15
859,11
860,2
861,0
862,17
863,1
864,4
865,44
866,72
867,4
868,4
869,1
870,24
871,1
872,6
873,0
874,21
875,0
876,1
877,73
878,0
879,2
880,0
881,0
882,11
883,1
884,49
885,3
886,0
887,44
888,0
889,1
890,2
891,1
892,58
893,0
894,0
895,23
896,23
897,4
898,8
899,0
900,0
901,2
